,Paper_Title,Publish_Year,Publish_Journal,MP_polymer,MP_size_um,MP_shape,mouse_rat,exposure_method,exposure_duration_day,MP_dose_mg_kg_dw_day,if_coexposure,Liver_MP_accum,Brain_MP_conc,blood_MP_conc,Kidney_MP_conc,Heart_MP_conc,Lung_MP_conc,Spleen_MP_conc,Testis_MP_conc,Gut_MP_conc,Uterus_ovaries_MP_conc,MP_accumulation_detection_method
1479,polystyrene microplastics trigger testosterone decline via gpx1 ,2024, science of the total environment ,ps,50,beads,mice,oral gavage,84,5,none,,,,,,,,M,,,fluorescence microscopy
1480,lactating exposure to microplastics at the dose of infants ingested during artificial feeding induced reproductive toxicity in female mice and their offspring,2024,science of the total environment,ps,1,beads,mice,oral gavage,21,1.357,none,,,,,,,,,,M,fluorescence microscopy
1482,exposure to polystyrene microplastics during lactational period alters immune status in both male mice and their offspring ,2024, science of the total environment ,ps,1,beads,mice,oral gavage,21,0.0014,none,,,,,,,M,,,,fluorescence microscopy
1482,exposure to polystyrene microplastics during lactational period alters immune status in both male mice and their offspring ,2024, science of the total environment ,ps,1,beads,mice,oral gavage,21,1.36,none,,,,,,,M,,,,fluorescence microscopy
1486,mri-based microplastic tracking in vivo and targeted toxicity analysis ,2024, science of the total environment ,ps,1,beads,mice,oral gavage,1,1,none,M,,,M,M,,,,H,,PET_MRI
1486,mri-based microplastic tracking in vivo and targeted toxicity analysis ,2024, science of the total environment ,ps,1,beads,mice,oral gavage,7,1,none,M,,,M,M,,,,H,,PET_MRI
1486,mri-based microplastic tracking in vivo and targeted toxicity analysis ,2024, science of the total environment ,ps,1,beads,mice,oral gavage,14,1,none,M,,,M,M,,,,H,,PET_MRI
1486,mri-based microplastic tracking in vivo and targeted toxicity analysis ,2024, science of the total environment ,ps,1,beads,mice,oral gavage,21,1,none,M,,,M,M,,,,H,,PET_MRI
1486,mri-based microplastic tracking in vivo and targeted toxicity analysis ,2024, science of the total environment ,ps-nh2,1,beads,mice,oral gavage,1,1,none,M,,,M,M,,,,H,,PET_MRI
1486,mri-based microplastic tracking in vivo and targeted toxicity analysis ,2024, science of the total environment ,ps-nh2,1,beads,mice,oral gavage,7,1,none,M,,,M,M,,,,H,,PET_MRI
1486,mri-based microplastic tracking in vivo and targeted toxicity analysis ,2024, science of the total environment ,ps-nh2,1,beads,mice,oral gavage,14,1,none,M,,,M,M,,,,H,,PET_MRI
1486,mri-based microplastic tracking in vivo and targeted toxicity analysis ,2024, science of the total environment ,ps-nh2,1,beads,mice,oral gavage,21,1,none,M,,,M,M,,,,H,,PET_MRI
1486,mri-based microplastic tracking in vivo and targeted toxicity analysis ,2024, science of the total environment ,ps-cooh,1,beads,mice,oral gavage,1,1,none,M,,,M,M,,,,H,,PET_MRI
1486,mri-based microplastic tracking in vivo and targeted toxicity analysis ,2024, science of the total environment ,ps-cooh,1,beads,mice,oral gavage,7,1,none,M,,,M,M,,,,H,,PET_MRI
1486,mri-based microplastic tracking in vivo and targeted toxicity analysis ,2024, science of the total environment ,ps-cooh,1,beads,mice,oral gavage,14,1,none,M,,,M,M,,,,H,,PET_MRI
1486,mri-based microplastic tracking in vivo and targeted toxicity analysis ,2024, science of the total environment ,ps-cooh,1,beads,mice,oral gavage,21,1,none,M,,,M,M,,,,H,,PET_MRI
1494,inhalation of nanoplastics in the mouse model: tissue bio-distribution and effects on the olfactory system ,2023, science of the total environment ,ps,0.1,beads,mice,inhalation,1,2.5,none,,M,,,,M,,M,,,fluorescence microscopy
1495,inhalation of nanoplastics in the mouse model: tissue bio-distribution and effects on the olfactory system ,2023, science of the total environment ,ps,0.1,beads,mice,inhalation,7,2.5,none,,N,,,,M,,M,,,fluorescence microscopy
1496,inhalation of nanoplastics in the mouse model: tissue bio-distribution and effects on the olfactory system ,2023, science of the total environment ,ps,0.1,beads,mice,inhalation,30,2.5,none,,N,,,,N,,N,,,fluorescence microscopy
